x,y,z,pass
86,22,1,False
81,75,91,True
54,85,78,True
5,58,4,False
53,93,100,True
73,95,70,True
23,73,88,False
74,46,28,False
52,66,76,True
80,95,80,True
90,61,68,True
51,32,29,False
89,71,0,False
44,84,57,True
99,69,36,False
97,43,45,True
69,18,0,False
85,90,44,True
5,80,63,False
64,54,59,False
50,65,65,True
89,3,80,False
89,40,72,True
6,62,55,False
84,49,86,True
51,100,4,False
73,84,68,True
40,21,94,False
76,23,17,False
54,75,70,True
69,8,40,False
90,48,59,True
51,51,36,False
87,72,51,True
57,79,87,True
78,23,47,False
64,65,92,True
82,83,48,True
24,49,77,False
43,98,50,True
8,21,64,False
20,57,84,False
78,49,83,True
48,67,62,False
48,96,94,True
94,54,98,True
82,69,7,False
57,84,64,True
32,35,72,False
90,74,84,True
73,88,65,True
99,47,48,True
62,75,44,True
64,44,75,True
89,58,84,True
68,76,57,True
99,84,62,True
15,13,40,False
59,29,24,False
44,23,26,False
99,42,30,False
45,33,49,False
5,45,87,False
81,27,57,False
25,91,66,False
69,90,88,True
49,76,33,False
65,92,25,False
75,92,62,True
51,81,88,True
56,34,31,False
1,8,16,False
57,71,57,True
15,30,7,False
31,92,7,False
67,0,86,False
66,55,61,True
71,61,66,True
37,54,79,False
74,7,61,False
66,83,75,True
36,9,88,False
97,38,69,False
86,79,43,True
45,85,69,True
81,67,25,False
48,62,68,False
65,98,84,True
41,79,64,True
95,64,85,True
78,27,63,False
35,56,31,False
67,74,42,True
46,65,11,False
49,90,98,True
76,70,99,True
75,100,76,True
81,61,59,True
14,76,12,False
64,83,80,True
85,22,45,False
0,85,34,False
80,54,55,True
40,79,75,True
4,92,51,False
47,9,69,False
2,51,94,False
86,58,89,True
72,76,91,True
57,61,69,True
93,99,0,False
46,81,54,True
3,80,60,False
13,63,26,False
82,70,98,True
59,11,75,False
85,0,66,False
46,88,75,True
3,84,42,False
4,50,60,False
42,60,68,False
49,78,74,True
34,95,19,False
56,81,23,False
60,76,65,True
83,45,46,False
79,71,71,True
21,55,70,False
77,55,19,False
64,60,63,True
48,48,93,True
74,69,76,True
14,26,87,False
35,80,20,False
6,42,58,False
40,61,67,False
76,75,41,True
70,40,83,True
52,92,69,True
98,92,81,True
70,51,94,True
41,90,63,True
91,97,77,True
85,84,48,True
23,70,98,False
26,100,46,False
74,100,52,True
14,4,77,False
81,85,85,True
73,71,61,True
97,80,67,True
97,7,86,False
57,100,46,True
97,87,87,True
13,52,31,False
43,52,66,False
17,80,80,False
7,22,27,False
70,81,19,False
73,44,25,False
89,43,62,True
43,48,99,True
29,83,48,False
76,47,72,True
72,7,79,False
65,93,94,True
87,44,87,True
89,59,54,True
26,93,90,False
51,45,33,False
14,98,44,False
59,49,77,True
40,59,79,False
21,78,3,False
75,30,69,False
78,10,96,False
94,50,23,False
43,28,25,False
72,95,53,True
99,55,94,True
79,59,75,True
12,23,26,False
94,77,42,True
91,37,50,False
50,72,85,True
95,87,41,True
81,75,73,True
96,73,63,True
86,57,43,True
93,78,33,False
46,99,51,True
78,40,27,False
85,86,74,True
52,72,63,True
90,78,49,True
95,90,63,True
21,44,22,False
60,33,39,False
60,0,69,False
44,71,56,False
29,14,78,False
37,61,67,False
44,56,8,False
81,68,81,True
54,42,42,False
70,74,9,False
70,67,56,True
59,16,40,False
45,54,86,True
41,68,94,True
19,77,5,False
64,80,92,True
38,63,97,False
83,46,66,True
56,7,37,False
3,49,77,False
74,90,31,False
90,60,32,False
65,73,49,True
23,95,87,False
89,34,43,False
84,69,70,True
49,96,86,True
97,42,68,True
64,86,62,True
6,36,59,False
65,57,24,False
24,60,28,False
51,90,14,False
41,84,82,True
93,76,98,True
44,62,100,True
91,22,70,False
70,84,80,True
68,75,78,True
2,34,24,False
32,46,4,False
80,69,41,True
26,88,63,False
27,34,15,False
88,43,56,True
98,80,80,True
68,55,70,True
30,62,60,False
95,37,3,False
95,60,7,False
40,6,80,False
57,43,89,True
75,60,50,True
57,77,68,True
78,80,95,True
39,78,11,False
54,95,71,True
45,21,63,False
76,69,12,False
99,52,42,True
94,87,56,True
66,82,23,False
70,23,22,False
49,87,31,False
55,34,97,False
51,82,49,True
95,77,96,True
62,63,75,True
6,61,81,False
69,21,51,False
88,45,59,True
15,20,87,False
42,47,25,False
53,83,43,False
48,86,1,False
82,84,53,True
80,70,53,True
59,99,77,True
76,79,3,False
88,28,38,False
10,30,46,False
91,22,91,False
78,58,74,True
83,67,89,True
80,35,49,False
78,76,44,True
39,1,90,False
1,17,32,False
9,16,4,False
22,25,3,False
74,59,53,True
98,68,85,True
15,68,89,False
47,2,13,False
80,67,74,True
58,24,81,False
72,53,76,True
34,14,78,False
26,64,61,False
94,56,78,True
65,98,61,True
97,99,11,False
28,87,33,False
70,0,75,False
89,85,88,True
76,49,92,True
84,91,84,True
51,78,46,False
84,26,82,False
88,5,98,False
79,88,89,True
69,93,87,True
26,21,0,False
91,44,76,True
97,57,79,True
68,46,89,True
41,75,42,False
11,69,12,False
32,26,56,False
74,82,77,True
85,87,99,True
78,80,47,True
54,85,89,True
92,81,48,True
75,65,82,True
63,89,86,True
50,83,91,True
51,68,68,True
71,83,49,True
58,85,7,False
51,93,6,False
51,54,76,True
64,77,91,True
88,0,76,False
17,45,19,False
26,78,10,False
75,67,98,True
64,44,53,False
12,22,48,False
67,58,80,True
66,89,92,True
55,94,60,True
24,46,89,False
91,91,86,True
35,69,2,False
89,70,52,True
89,14,80,False
73,59,75,True
94,74,65,True
17,60,15,False
84,74,71,True
28,42,75,False
79,56,57,True
21,99,64,False
26,18,28,False
43,32,20,False
4,4,33,False
54,63,77,True
73,26,99,False
95,45,81,True
94,52,39,False
62,100,84,True
74,51,95,True
1,99,85,False
30,58,19,False
55,89,58,True
19,78,24,False
87,7,12,False
91,82,63,True
9,15,27,False
24,21,93,False
6,76,50,False
11,78,19,False
14,7,54,False
90,82,58,True
93,99,8,False
49,39,17,False
23,74,72,False
63,96,37,False
65,25,35,False
70,66,64,True
11,70,26,False
23,18,17,False
66,92,88,True
97,57,78,True
62,28,21,False
48,56,80,True
97,98,53,True
15,91,94,False
84,49,87,True
93,61,47,True
59,99,92,True
17,60,45,False
62,37,5,False
76,60,72,True
68,37,47,False
42,63,71,False
87,81,65,True
36,13,66,False
78,92,55,True
42,77,98,True
67,82,80,True
20,57,86,False
34,95,94,False
82,96,92,True
64,96,52,True
51,77,65,True
71,81,39,False
89,48,56,True
54,69,52,False
24,17,51,False
70,41,76,True
21,67,21,False
87,64,37,False
87,46,12,False
24,91,54,False
59,69,65,True
13,91,38,False
54,88,62,True
73,61,50,True
92,92,42,True
57,98,52,True
32,32,59,False
11,31,17,False
48,89,53,True
44,89,70,True
55,53,87,True
67,18,45,False
0,68,18,False
50,72,74,True
65,44,55,False
14,1,10,False
3,20,40,False
68,54,67,True
78,93,96,True
77,83,67,True
87,81,98,True
69,49,94,True
24,35,80,False
97,41,97,True
82,13,97,False
14,38,91,False
67,80,42,True
58,69,58,True
58,5,18,False
74,87,89,True
39,33,85,False
69,15,59,False
13,40,0,False
4,21,53,False
68,64,95,True
21,24,38,False
23,38,53,False
96,48,49,True
18,49,51,False
60,28,67,False
71,62,67,True
77,46,85,True
5,50,37,False
95,20,35,False
66,45,78,True
55,96,29,False
61,80,58,True
25,100,16,False
87,69,55,True
81,75,50,True
97,9,81,False
75,41,88,True
89,52,95,True
87,76,50,True
60,99,89,True
61,9,16,False
75,89,72,True
8,58,77,False
79,58,47,True
6,32,38,False
66,75,90,True
48,70,0,False
24,74,42,False
87,72,65,True
36,68,36,False
67,79,85,True
47,61,71,False
81,10,25,False
64,69,91,True
93,56,42,True
15,43,30,False
82,89,71,True
79,7,54,False
6,94,32,False
40,97,55,True
8,72,31,False
80,82,47,True
53,79,32,False
91,52,42,True
68,2,84,False
75,51,25,False
58,77,43,False
56,73,52,True
87,95,57,True
42,84,94,True
17,30,5,False
17,14,56,False
30,76,15,False
77,79,53,True
46,64,40,False
45,82,76,True
86,72,71,True
87,18,53,False
48,42,94,True
54,74,68,True
4,18,35,False
5,3,82,False
51,86,99,True
4,6,21,False
5,30,45,False
95,98,74,True
2,17,28,False
56,97,59,True
95,11,83,False
15,76,34,False
89,7,55,False
75,97,56,True
42,14,76,False
48,31,21,False
80,68,40,True
52,78,94,True
80,86,97,True
79,49,63,True
45,97,93,True
63,57,21,False
73,45,54,False
46,65,74,True
53,70,82,True
75,27,57,False
39,24,80,False
20,46,71,False
0,43,12,False
91,82,82,True
87,83,85,True
79,93,96,True
97,62,47,True
77,66,50,True
56,77,87,True
70,65,100,True
69,19,76,False
76,50,38,False
100,88,56,True
20,19,90,False
78,20,42,False
41,83,93,True
54,66,25,False
17,63,98,False
82,87,47,True
23,35,13,False
22,0,70,False
5,69,56,False
78,87,26,False
46,86,59,True
56,62,98,True
75,66,64,True
66,47,0,False
48,8,40,False
56,29,39,False
24,91,0,False
92,88,59,True
16,35,65,False
83,40,88,True
64,48,98,True
82,23,50,False
44,100,5,False
11,28,66,False
53,96,73,True
45,75,97,True
67,34,82,False
92,23,3,False
13,22,11,False
34,35,100,False
70,84,53,True
56,50,93,True
70,97,23,False
70,66,63,True
76,10,25,False
33,87,14,False
70,21,46,False
70,61,84,True
24,18,24,False
32,33,97,False
94,41,21,False
41,31,61,False
93,73,66,True
54,62,8,False
64,98,63,True
22,10,41,False
56,77,82,True
96,61,86,True
44,93,94,True
54,72,72,True
78,29,66,False
55,85,45,True
91,51,53,True
44,52,22,False
43,14,100,False
90,40,80,True
71,79,54,True
96,81,81,True
38,100,62,False
84,63,82,True
57,3,78,False
81,33,3,False
55,55,76,True
9,90,91,False
2,83,46,False
15,63,20,False
45,14,72,False
96,45,55,True
66,84,37,False
83,60,59,True
89,81,88,True
81,73,50,True
85,27,64,False
82,43,62,True
54,38,32,False
74,22,0,False
66,16,41,False
57,75,89,True
66,84,86,True
65,73,74,True
85,57,59,True
38,61,96,False
91,89,48,True
45,98,97,True
20,43,13,False
92,78,76,True
85,30,73,False
19,87,23,False
31,62,73,False
33,69,53,False
30,12,19,False
98,43,49,True
62,56,96,True
65,86,99,True
37,3,80,False
58,81,53,True
37,69,77,False
53,89,68,True
37,11,100,False
11,8,47,False
67,45,94,True
64,70,91,True
93,51,62,True
8,60,15,False
84,15,50,False
68,97,77,True
39,8,38,False
67,86,45,True
94,78,85,True
69,98,100,True
83,66,76,True
93,98,40,True
46,23,6,False
49,70,17,False
93,50,12,False
91,100,49,True
96,98,11,False
52,61,99,True
76,79,82,True
74,97,66,True
9,24,90,False
45,76,23,False
42,23,2,False
54,64,15,False
67,62,63,True
90,99,23,False
68,69,83,True
61,83,86,True
93,97,91,True
18,9,100,False
97,32,24,False
94,73,49,True
76,60,89,True
34,100,40,False
100,81,67,True
75,78,62,True
88,66,6,False
11,54,19,False
76,14,69,False
95,51,34,False
72,84,73,True
87,58,56,True
55,98,41,True
77,38,34,False
50,94,95,True
86,74,12,False
65,100,41,True
86,21,22,False
67,91,77,True
73,55,94,True
26,60,76,False
84,50,67,True
99,53,75,True
90,30,41,False
82,61,94,True
92,66,43,True
81,54,89,True
94,32,95,False
9,37,98,False
43,98,95,True
47,93,52,True
49,13,5,False
76,63,41,True
23,24,54,False
1,36,17,False
93,62,46,True
4,31,76,False
63,60,87,True
99,63,97,True
3,60,49,False
61,80,48,True
21,96,65,False
45,16,81,False
80,60,86,True
37,44,16,False
91,88,50,True
27,12,61,False
15,95,99,False
81,7,77,False
43,77,12,False
20,16,14,False
77,45,76,True
68,78,7,False
77,45,60,True
48,92,75,True
5,72,2,False
62,95,58,True
77,51,92,True
7,39,64,False
89,87,73,True
89,96,77,True
85,49,80,True
98,86,68,True
4,3,78,False
76,54,95,True
40,62,6,False
75,89,34,False
49,93,41,True
97,80,84,True
25,8,56,False
62,75,44,True
2,46,84,False
60,70,61,True
36,78,46,False
11,59,47,False
94,75,98,True
51,86,51,True
88,64,44,True
100,90,83,True
26,28,20,False
98,81,85,True
64,66,67,True
46,99,88,True
85,84,84,True
62,82,68,True
4,34,97,False
51,91,95,True
34,79,26,False
59,66,62,True
98,61,42,True
85,43,64,True
94,16,100,False
45,85,27,False
55,99,86,True
8,26,27,False
65,71,98,True
9,16,33,False
54,98,88,True
24,70,4,False
80,23,72,False
21,12,25,False
93,31,60,False
40,92,83,True
59,86,59,True
47,41,31,False
90,83,68,True
18,68,73,False
45,57,41,False
20,71,18,False
26,67,90,False
56,75,88,True
100,60,72,True
45,28,94,False
62,66,96,True
71,64,56,True
44,16,59,False
1,68,26,False
41,93,60,True
77,90,48,True
44,54,82,True
34,76,65,False
85,84,93,True
14,90,77,False
85,56,76,True
49,62,98,True
93,49,99,True
67,50,72,True
57,61,11,False
53,79,29,False
27,30,84,False
82,88,33,False
87,81,45,True
42,76,69,True
84,69,55,True
48,83,32,False
84,31,30,False
62,26,59,False
21,62,32,False
72,98,94,True
61,90,42,True
84,37,67,False
90,54,81,True
50,82,76,True
12,51,75,False
77,56,20,False
84,64,87,True
51,47,77,False
68,43,58,False
52,88,30,False
44,68,80,True
81,85,40,True
35,41,60,False
11,66,32,False
78,70,2,False
99,26,26,False
72,31,44,False
49,33,97,False
25,80,75,False
5,11,33,False
49,96,88,True
91,54,56,True
32,45,32,False
89,97,47,True
97,67,64,True
35,49,22,False
63,16,71,False
54,58,93,True
91,97,46,True
98,51,34,False
27,17,16,False
67,72,98,True
63,95,1,False
55,55,42,False
18,98,94,False
21,10,19,False
92,96,73,True
43,69,81,True
29,26,88,False
17,60,4,False
88,93,97,True
75,81,70,True
1,49,71,False
99,88,72,True
0,66,45,False
43,99,92,True
40,43,12,False
16,58,41,False
66,20,15,False
57,40,94,True
63,66,74,True
97,75,48,True
57,83,97,True
66,64,59,True
51,100,51,True
65,92,81,True
28,24,79,False
90,67,92,True
56,97,45,True
75,59,94,True
53,5,45,False
47,36,84,False
24,89,91,False
71,57,90,True
90,91,58,True
80,91,73,True
79,95,3,False
93,55,99,True
89,80,43,True
94,70,83,True
12,83,59,False
47,73,24,False
81,67,94,True
35,0,64,False
87,96,76,True
45,80,57,True
86,54,58,True
94,82,65,True
81,81,34,False
3,33,89,False
28,100,26,False
90,49,92,True
42,91,34,False
1,56,18,False
68,80,59,True
21,51,14,False
18,0,40,False
82,24,35,False
30,25,84,False
73,60,99,True
94,25,85,False
23,6,24,False
26,16,73,False
8,94,4,False
65,68,86,True
85,11,92,False
98,62,54,True
0,73,62,False
89,50,61,True
39,39,28,False
43,68,21,False
74,62,45,True
23,27,4,False
53,33,20,False
92,71,8,False
82,77,53,True
78,70,61,True
19,35,58,False
55,41,98,True
37,53,11,False
75,52,90,True
100,42,9,False
80,86,67,True
42,89,96,True
97,98,88,True
47,96,87,True
7,74,3,False
37,82,32,False
69,57,93,True
70,48,99,True
28,81,1,False
100,76,21,False
87,45,72,True
43,83,57,True
96,91,99,True
42,97,7,False
66,52,68,True
49,59,100,True
17,7,73,False
57,25,81,False
99,50,78,True
50,85,61,True
72,97,59,True
62,88,69,True
2,54,3,False
57,67,73,True
3,52,23,False
77,40,95,True
6,32,56,False
64,100,60,True
67,58,72,True
36,67,20,False
69,47,77,True
44,69,57,False
80,56,65,True
78,29,45,False
53,98,80,True
73,15,85,False
89,97,85,True
60,40,80,True
71,74,56,True
45,61,31,False
43,90,52,True
86,21,66,False
98,70,83,True
53,70,80,True
81,77,60,True
41,66,93,True
85,50,0,False
73,96,45,True
67,90,41,True
73,64,29,False
90,59,17,False
65,56,64,True
47,85,54,True
54,89,66,True
62,91,54,True
100,86,57,True
68,58,79,True
54,91,56,True
58,83,95,True
87,36,23,False
83,27,93,False
100,51,54,True
86,67,65,True
8,7,24,False
80,85,71,True
99,67,93,True
62,78,61,True
31,69,62,False
98,100,52,True
74,53,46,False
38,30,83,False
73,78,85,True
52,50,29,False
60,66,16,False
90,83,82,True
